Source IP,Destination IP,Type,Record,Size (bytes),Domain,Time Stamp,Z-value
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:16:27.397929,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:16:27.865656,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:16:32.337183,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:16:32.854083,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:16:37.892742,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:16:38.426716,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:16:42.705679,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:16:43.217237,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:16:48.525513,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:16:48.990279,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:16:52.948360,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:16:53.421518,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:16:57.470311,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:16:57.957556,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:17:03.576405,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:17:04.045192,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:17:07.166671,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:17:07.704441,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:17:13.778457,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:17:14.430537,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:17:21.163051,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:17:21.630657,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:17:28.990562,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:17:29.476554,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:17:34.041736,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:17:34.522604,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:17:39.466919,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:17:39.986815,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:17:46.970999,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:17:47.553563,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:17:53.660299,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:17:54.281800,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:18:00.137069,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:18:00.643719,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:18:05.251383,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:18:05.742322,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:18:10.066740,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:18:10.547204,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:18:15.617849,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:18:16.118018,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:18:21.206240,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:18:21.659630,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:18:25.791091,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:18:26.302581,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:18:29.621812,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:18:30.149888,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:18:36.073651,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:18:36.584394,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:18:43.322746,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:18:43.810780,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:18:47.894192,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:18:48.370417,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:18:52.416757,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:18:52.991119,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:18:56.833492,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:18:57.307241,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:19:00.482039,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:19:00.989024,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:19:08.201356,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:19:08.710988,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:19:12.801325,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:19:13.685785,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:19:19.478340,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:19:19.973945,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:19:23.466817,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:19:23.931334,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:19:27.213288,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:19:27.711870,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:19:33.787469,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:19:34.247888,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:19:37.765952,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:19:38.254900,0
192.168.2.115,172.208.51.75,Request,A,82,www.timeserversync.com,2025-08-03 20:19:44.079889,0
172.208.51.75,192.168.2.115,Response,A,158,www.timeserversync.com,2025-08-03 20:19:44.575510,0
